PLT_CN,case,entry_year,num_cycle,Year,RmvCode,Age,BA,Tpa,SDI,QMD,TCuFt,MCuFt,RTpa,RMCuFt
718603850290487,entry in the horizon's final year,2072,10,2052,0,61,222.3112030029297,1255.5054931640625,462,5.697805881500244,5167.18701171875,3788.392333984375,0.0,0.0
718603850290487,entry in the horizon's final year,2072,10,2057,0,66,228.49240112304688,1052.8756103515625,457,6.307884216308594,5421.1416015625,4357.5927734375,0.0,0.0
718603850290487,entry in the horizon's final year,2072,10,2062,0,71,234.347412109375,886.2178344726562,454,6.962998390197754,5586.03857421875,4763.267578125,0.0,0.0
718603850290487,entry in the horizon's final year,2072,10,2067,0,76,240.2036895751953,751.0328369140625,449,7.657674312591553,5736.759765625,5061.6904296875,0.0,0.0
718603850290487,entry in the horizon's final year,2072,10,2072,0,81,240.62828063964844,630.6685180664062,436,8.363905906677246,5843.26904296875,5274.7373046875,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2022,0,31,76.42662048339844,1950.0,179,2.680657148361206,1694.400146484375,870.6000366210938,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2027,0,36,100.11044311523438,1898.2615966796875,235,3.109553337097168,2160.356201171875,1231.807373046875,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2032,0,41,133.3055877685547,1847.60595703125,313,3.6371045112609863,3188.546142578125,1626.943115234375,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2037,0,46,160.9602508544922,1725.8966064453125,371,4.135120391845703,3787.236328125,2077.2763671875,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2042,0,51,187.9523162841797,1628.6754150390625,421,4.59984016418457,4327.376953125,2753.529052734375,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2047,0,56,216.67555236816406,1524.72802734375,470,5.104404926300049,4955.97705078125,3325.98291015625,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2052,0,61,222.3112030029297,1255.5054931640625,462,5.697805881500244,5167.18701171875,3788.392333984375,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2057,0,66,228.49240112304688,1052.8756103515625,457,6.307884216308594,5421.1416015625,4357.5927734375,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2062,0,71,234.347412109375,886.2178344726562,454,6.962998390197754,5586.03857421875,4763.267578125,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2067,0,76,240.2036895751953,751.0328369140625,449,7.657674312591553,5736.759765625,5061.6904296875,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2072,1,81,240.62828063964844,630.6685180664062,436,8.363905906677246,5843.26904296875,5274.7373046875,630.6686401367188,5274.7373046875
718603850290487,"the same, with a carrier cycle",2072,11,2072,2,81,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
718603850290487,"the same, with a carrier cycle",2072,11,2077,0,86,0.2586808204650879,947.260986328125,2,0.22376061975955963,0.0,0.0,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2022,0,31,76.42662048339844,1950.0,179,2.680657148361206,1694.400146484375,870.6000366210938,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2027,0,36,100.11044311523438,1898.2615966796875,235,3.109553337097168,2160.356201171875,1231.807373046875,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2032,0,41,133.3055877685547,1847.60595703125,313,3.6371045112609863,3188.546142578125,1626.943115234375,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2037,0,46,160.9602508544922,1725.8966064453125,371,4.135120391845703,3787.236328125,2077.2763671875,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2042,0,51,187.9523162841797,1628.6754150390625,421,4.59984016418457,4327.376953125,2753.529052734375,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2047,0,56,216.67555236816406,1524.72802734375,470,5.104404926300049,4955.97705078125,3325.98291015625,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2052,0,61,222.3112030029297,1255.5054931640625,462,5.697805881500244,5167.18701171875,3788.392333984375,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2057,0,66,228.49240112304688,1052.8756103515625,457,6.307884216308594,5421.1416015625,4357.5927734375,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2062,1,71,234.347412109375,886.2178344726562,454,6.962998390197754,5586.03857421875,4763.267578125,886.2182006835938,4763.267578125
718603850290487,"non-interference check, ten cycles",2062,10,2062,2,71,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2067,0,76,0.3760461211204529,1185.10986328125,2,0.24120019376277924,0.0,0.0,0.0,0.0
718603850290487,"non-interference check, ten cycles",2062,10,2072,0,81,35.50102615356445,1156.9520263671875,105,2.371915102005005,597.8831176757812,0.0,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2022,0,31,76.42662048339844,1950.0,179,2.680657148361206,1694.400146484375,870.6000366210938,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2027,0,36,100.11044311523438,1898.2615966796875,235,3.109553337097168,2160.356201171875,1231.807373046875,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2032,0,41,133.3055877685547,1847.60595703125,313,3.6371045112609863,3188.546142578125,1626.943115234375,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2037,0,46,160.9602508544922,1725.8966064453125,371,4.135120391845703,3787.236328125,2077.2763671875,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2042,0,51,187.9523162841797,1628.6754150390625,421,4.59984016418457,4327.376953125,2753.529052734375,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2047,0,56,216.67555236816406,1524.72802734375,470,5.104404926300049,4955.97705078125,3325.98291015625,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2052,0,61,222.3112030029297,1255.5054931640625,462,5.697805881500244,5167.18701171875,3788.392333984375,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2057,0,66,228.49240112304688,1052.8756103515625,457,6.307884216308594,5421.1416015625,4357.5927734375,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2062,1,71,234.347412109375,886.2178344726562,454,6.962998390197754,5586.03857421875,4763.267578125,886.2182006835938,4763.267578125
718603850290487,"non-interference check, eleven cycles",2062,11,2062,2,71,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2067,0,76,0.3760461211204529,1185.10986328125,2,0.24120019376277924,0.0,0.0,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2072,0,81,35.50102615356445,1156.9520263671875,105,2.371915102005005,597.8831176757812,0.0,0.0,0.0
718603850290487,"non-interference check, eleven cycles",2062,11,2077,0,86,81.78223419189453,1129.08935546875,206,3.6441938877105713,1679.1112060546875,311.1568298339844,0.0,0.0
